Rank,Player,Team,team_long_name,Bye,POS,FG,FGA,XPT,FPTS,ATT,CMP,YDS,TDS,INTS,FL,FPTS_qb,ATT_rb,YDS_rb,TDS_rb,REC,FL_rb,FPTS_rb,REC_te,YDS_te,TDS_te,FL_te,FPTS_te,REC_wr,YDS_wr,TDS_wr,ATT_wr,FL_wr,FPTS_wr,SACK,INT,FR,FF,TD,SAFETY,PA,YDS_AGN,FPTS_dst,ATT_flx,YDS_flx,TDS_flx,REC_flx,FL_flx,FPTS_flx,drafted_by
46,Zay Flowers,BAL,Ravens,14,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.4,965.8,6.2,7.4,1,140,0,0,0,0,0,0,0,0,0,7.4,46.3,0.6,80.4,1,140,Americas Ass
47,James Cook,BUF,Bills,12,RB,0,0,0,0,0,0,0,0,0,0,0,236.7,1039.1,5,44.6,1.4,184.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.7,1039.1,5,44.6,1.4,184.8,Americas Ass
48,George Pickens,PIT,Steelers,9,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.3,1100.1,6.3,2.6,0.9,147.8,0,0,0,0,0,0,0,0,0,2.6,16.9,0,71.3,0.9,147.8,Energy
49,Mark Andrews,BAL,Ravens,14,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.7,880.1,7.9,0.5,134.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.7,0.5,134.6,Undrafted
50,Tee Higgins,CIN,Bengals,12,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.1,1014.8,7.3,0,0.5,144.4,0,0,0,0,0,0,0,0,0,0,1,0,71.1,0.5,144.4,Undrafted
51,Joe Mixon,HOU,Texans,14,RB,0,0,0,0,0,0,0,0,0,0,0,248.6,965.1,7.8,39.6,0.9,184.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248.6,965.1,7.8,39.6,0.9,184.5,Undrafted
52,Dalton Kincaid,BUF,Bills,12,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.4,822.8,5.4,0.8,113.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.4,0.8,113.1,Next Year
53,Tank Dell,HOU,Texans,14,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,941.1,6.9,11.1,0.6,141.5,0,0,0,0,0,0,0,0,0,11.1,61.7,0.2,69,0.6,141.5,Undrafted
54,Anthony Richardson,IND,Colts,14,QB,0,0,0,0,511.9,326.3,3507.8,19.9,11.5,5,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Russ Riders
55,Kenneth Walker III,SEA,Seahawks,10,RB,0,0,0,0,0,0,0,0,0,0,0,237.7,994.9,8.9,29.1,0.9,179.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.7,994.9,8.9,29.1,0.9,179.9,Ninjas
56,Christian Kirk,JAX,Jaguars,12,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.1,997.5,5.4,1,1.3,130.2,0,0,0,0,0,0,0,0,0,1,6.6,0,80.1,1.3,130.2,Undrafted
57,C.J. Stroud,HOU,Texans,14,QB,0,0,0,0,556,361.8,4329,29.4,10.1,3.6,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Russ Riders
58,Alvin Kamara,NO,Saints,12,RB,0,0,0,0,0,0,0,0,0,0,0,195.6,773.2,5.1,65.9,0.9,166.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.6,773.2,5.1,65.9,0.9,166.1,Undrafted
59,Keenan Allen,CHI,Bears,7,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.6,900.3,5.6,1,1,122.3,0,0,0,0,0,0,0,0,0,1,6.1,0,80.6,1,122.3,Undrafted
60,Terry McLaurin,WAS,Commanders,14,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.8,983.6,4.6,0.3,0.5,125.2,0,0,0,0,0,0,0,0,0,0.3,2.2,0,73.8,0.5,125.2,Ninjas
61,Kyle Pitts,ATL,Falcons,12,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.8,876.2,5.2,0.4,117.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.8,0.4,117.8,WhatDats
